 Paso,E_tot,E_med,E_sqr,M_tot,M_med,M_sqr
           1 ,   11.0000000     ,   11.0000000     ,   121.000000     ,   24.0000000     ,   24.0000000     ,   576.000000    
           2 ,   11.0000000     ,   11.0000000     ,   121.000000     ,   24.0000000     ,   24.0000000     ,   576.000000    
           3 ,   7.00000000     ,   9.66666698     ,   97.0000000     ,   26.0000000     ,   24.6666660     ,   609.333313    
           4 ,   11.0000000     ,   10.0000000     ,   103.000000     ,   24.0000000     ,   24.5000000     ,   601.000000    
           5 ,   7.00000000     ,   9.39999962     ,   92.1999969     ,   26.0000000     ,   24.7999992     ,   616.000000    
           6 ,   13.0000000     ,   10.0000000     ,   105.000000     ,   24.0000000     ,   24.6666660     ,   609.333313    
           7 ,   13.0000000     ,   10.4285717     ,   114.142860     ,   24.0000000     ,   24.5714283     ,   604.571411    
           8 ,   21.0000000     ,   11.7500000     ,   155.000000     ,   22.0000000     ,   24.2500000     ,   589.500000    
           9 ,   25.0000000     ,   13.2222223     ,   207.222229     ,   20.0000000     ,   23.7777786     ,   568.444458    
          10 ,   27.0000000     ,   14.6000004     ,   259.399994     ,   22.0000000     ,   23.6000004     ,   560.000000    
